feature_block,test_year,zero_micro,zero_macro,zero_n_test,sep_micro,sep_macro,sep_n_test,joint_micro,joint_macro,joint_n_test,joint_n_val,joint_n_train,delta_micro,delta_micro_pct,skill_micro_sep,skill_micro_joint,skill_micro_delta,delta_macro,delta_macro_pct,skill_macro_sep,skill_macro_joint,skill_macro_delta,sepmean_micro,sepmean_macro,sepmean_n_test,pooledmean_micro,pooledmean_macro,pooledmean_n_test,jamesstein_micro,jamesstein_macro,jamesstein_n_test
F1,2011,0.0005747057183114,0.0005738612118305,29537,0.000580454498281,0.0005814551371177,29537,0.0005767399692546,0.0005758109342118,29537,29780,308984,-3.714529026399983e-06,-0.6399345749581506,-0.010002997684608328,-0.0035396392943107813,0.006463358390297547,-5.644202905900051e-06,-0.9707030767461485,-0.01323303462692138,-0.0033975503851892963,0.009835484241732084,0.000575322758714,0.0005744574066841,29537,0.000575231805229,0.000574390223591,29537,0.000575231805229,0.000574390223591,29537
F1,2012,0.0003441370087066,0.0003423244730887,30083,0.0003472864113406,0.0003454628336632,30083,0.0003461334679706,0.000344315372726,30083,30621,337995,-1.1529433700000423e-06,-0.3319863180218983,-0.009151595307452354,-0.005801350082931922,0.0033502452245204317,-1.1474609371999833e-06,-0.33215177593276807,-0.009167794946657981,-0.0058158261936012146,0.0033519687530567666,0.0003441750941902,0.0003423631625182,30083,0.0003439192423887,0.0003421083867014,30083,0.0003439192423887,0.0003421083867014,30083
F1,2013,0.0003215355877497,0.0003211651412917,30564,0.0003223509617724,0.0003219814658619,30564,0.0003225462882658,0.0003221751994696,30564,30750,366645,1.9532649340000445e-07,0.060594357257701376,-0.002535874888395684,-0.0031433550580621805,-0.0006074801696664966,1.9373360769998123e-07,0.06016917998102254,-0.0025417595661745285,-0.0031449807218728587,-0.0006032211556983302,0.0003212225590468,0.0003208528405562,30564,0.0003211226834492,0.0003207529914791,30564,0.0003211226834492,0.0003207529914791,30564
F1,2014,0.0005170676358219,0.0005178893549162,31997,0.0005193821907549,0.0005201971628012,31997,0.0005190058792541,0.0005198281966161,31997,32121,403269,-3.7631150080004623e-07,-0.07245367813884673,-0.004476309814519741,-0.003748529782025667,0.0007277800324940742,-3.6896618509996496e-07,-0.07092814253601959,-0.0044561794195856486,-0.003743737308935069,0.0007124421106505796,0.0005175546488051,0.000518372632453,31997,0.0005168513778995,0.0005176681855945,31997,0.0005168513778995,0.0005176681855945,31997
F1,2015,0.0005059601145897,0.0005059601145897,31877,0.0005082523313584,0.0005082523313584,31877,0.0005073348199462,0.0005073348199462,31877,31623,424881,-9.175114121999332e-07,-0.18052281427764658,-0.004530429776186562,-0.0027170231740794026,0.0018134066021071593,-9.175114121999332e-07,-0.18052281427764658,-0.004530429776186562,-0.0027170231740794026,0.0018134066021071593,0.0005058293953166,0.0005058293953166,31877,0.0005058494057502,0.0005058494057502,31877,0.0005058494057502,0.0005058494057502,31877
F1,2016,0.0003841637437515,0.000382199864305,32653,0.0003863521493926,0.0003844278020646,32653,0.00038598052999,0.0003840294850093,32653,32500,460889,-3.7161940259999816e-07,-0.09618670510419995,-0.005696543926111852,-0.004729197557162612,0.0009673463689492401,-3.9831705530001546e-07,-0.10361296793853673,-0.005829247908424318,-0.004787078372272546,0.0010421695361517713,0.0003840217059719,0.0003820562705573,32653,0.0003839528487615,0.0003819825956118,32653,0.0003839528487615,0.0003819825956118,32653
F1,2017,0.0002773123122904,0.0002787041109405,32204,0.0002776645419605,0.000279092901308,32204,0.0002776854229726,0.0002790659203019,32204,33020,483667,2.0881012100014505e-08,0.007520229969797511,-0.001270155180600474,-0.0013454529988889963,-7.529781828852222e-05,-2.6981006100005624e-08,-0.00966739246091754,-0.0013949933001993209,-0.0012981845161130767,9.680878408624416e-05,0.0002769950348045,0.0002783651459652,32204,0.0002767911688954,0.0002781723785058,32204,0.0002767911688954,0.0002781723785058,32204
F1,2018,0.0004242592200063,0.0004422449349469,32411,0.0004280973762638,0.0004458186710404,32411,0.0004270550215694,0.0004447492927749,32411,32881,509235,-1.0423546944000254e-06,-0.24348541995214446,-0.009046724447009158,-0.006589842792475986,0.0024568816545331718,-1.069378265500004e-06,-0.23986843417849973,-0.008080897735841974,-0.005662829871190489,0.0024180678646514853,0.0004256014312299,0.0004435692084758,32411,0.0004251088520627,0.0004431238894545,32411,0.0004251088520627,0.0004431238894545,32411
F1,2019,0.0004410982859584,0.0004426226064764,32037,0.0004469608650458,0.0004485058227787,32037,0.0004421485366316,0.0004436780501023,32037,32121,534085,-4.8123284142000036e-06,-1.0766778012448328,-0.013290867985719101,-0.002380990148075579,0.010909877837643522,-4.827772676400022e-06,-1.076412485904809,-0.013291721245633381,-0.002384522639505615,0.010907198606127766,0.0004404782959468,0.0004419964354879,32037,0.0004405829034035,0.0004421004786219,32037,0.0004405829034035,0.0004421004786219,32037
F1,2020,0.0007708036701998,0.0008189078649915,31996,0.0007732051228594,0.0008212347744744,31996,0.0007719250524118,0.000820006408338,31996,31872,562908,-1.2800704475999982e-06,-0.16555379804858936,-0.0031155179359454443,-0.0014548220971877246,0.0016606958387577198,-1.2283661363999892e-06,-0.1495755141623366,-0.0028414789775210725,-0.0013414736791073079,0.0015000052984137646,0.0007705832531738,0.0008186683505096,31996,0.0007707242248101,0.0008188386692997,31996,0.0007707242248101,0.0008188386692997,31996
F1,2021,0.0003379086774957,0.0003379086774957,32004,0.0003382514997813,0.0003382514997813,32004,0.0003395282505561,0.0003395282505561,32004,31752,586300,1.2767507748000012e-06,0.3774560572903587,-0.0010145412309050528,-0.004792931251138333,-0.00377839002023328,1.2767507748000012e-06,0.3774560572903587,-0.0010145412309050528,-0.004792931251138333,-0.00377839002023328,0.0003375152965667,0.0003375152965667,32004,0.0003374956778528,0.0003374956778528,32004,0.0003374956778528,0.0003374956778528,32004
F1,2022,0.0005872298981242,0.0005869393365516,31704,0.0005901176284149,0.0005898386260241,31704,0.0005889743838271,0.0005886860976927,31704,32004,618052,-1.1432445877999908e-06,-0.19373164480288974,-0.004917546432707809,-0.0029707031410908247,0.0019468432916169842,-1.1525283314000375e-06,-0.19539722909786966,-0.004939674838517316,-0.0029760505597777875,0.0019636242787395286,0.000588034375458,0.0005877381671083,31704,0.0005878139096874,0.0005875149789623,31704,0.0005878139096874,0.0005875149789623,31704
F1,2023,0.0005120488563575,0.0005283990313501,30704,0.0005139226616255,0.0005301122724806,30704,0.0005139578838263,0.0005302255520509,30704,31242,634345,3.522220079997789e-08,0.006853599467393135,-0.0036594267221481402,-0.0037282135192724386,-6.878679712429836e-05,1.1327957029989757e-07,0.021368977135695938,-0.0032423245101766973,-0.0034567071331170762,-0.0002143826229403789,0.0005121377452653,0.0005284853310243,30704,0.0005122305696979,0.0005286017783812,30704,0.0005122305696979,0.0005286017783812,30704
F1,2024,0.0012125091711842,0.0012142360143778,29666,0.0012111845757665,0.0012128677357945,29666,0.0012135964224445,0.0012153322650033,29666,29869,641527,2.411846677999969e-06,0.1991312246090674,0.00109244156595234,-0.000896695287869953,-0.001989136853822293,2.4645292088000276e-06,0.20319851341297454,0.0011268637786213676,-0.0009028315850621027,-0.0020296953636834703,0.0012128099948792,0.0012145393436175,29666,0.0012125171190328,0.0012142573244891,29666,0.0012125171190328,0.0012142573244891,29666
F1,2025,0.0007032961904113,0.0006995794854693,19228,0.0007042619385619,0.0007005883137175,19228,0.0007045627471434,0.0007008049349895,19228,29500,664905,3.008085814999945e-07,0.04271259953565634,-0.0013731741530340624,-0.0018008866667675871,-0.0004277125137335247,2.1662127199992276e-07,0.03091990941876765,-0.0014420495013847123,-0.001751694475972121,-0.0003096449745874086,0.0007032594621487,0.0006995321940688,19228,0.0007030060842518,0.0006993012432904,19228,0.0007030060842518,0.0006993012432904,19228
