feature_block,test_year,zero_micro,zero_macro,zero_n_test,sep_micro,sep_macro,sep_n_test,joint_micro,joint_macro,joint_n_test,joint_n_val,joint_n_train,delta_micro,delta_micro_pct,skill_micro_sep,skill_micro_joint,skill_micro_delta,delta_macro,delta_macro_pct,skill_macro_sep,skill_macro_joint,skill_macro_delta
F2,2011,0.0005721775768995,0.0005718733338872,29264,0.0005799685083132,0.0005825400775281,29264,0.0005743323662938,0.000574172366684,29264,29526,305726,-5.636142019399982e-06,-0.971801388974089,-0.013616282301584182,-0.003765945191309905,0.009850337110274276,-8.367710844100064e-06,-1.4364180537769833,-0.018652283659381208,-0.004020178351686221,0.014632105307694987
F2,2012,0.0003401654032323,0.0003383598717547,29833,0.0003429068713908,0.0003410931047399,29833,0.0003418034367872,0.0003400020121159,29833,30348,334695,-1.1034346035999811e-06,-0.32178842002335734,-0.00805922099205314,-0.00481540315192297,0.00324381784013017,-1.0910926240000431e-06,-0.31988117286394696,-0.00807788751965699,-0.0048532361496769205,0.0032246513699800694
F2,2013,0.0003215355877497,0.0003211651412917,30564,0.0003258488462644,0.0003254722905485,30564,0.0003226699848628,0.000322305165764,30564,30750,364270,-3.1788614015999545e-06,-0.9755631907380042,-0.013414560250971874,-0.003528060831583968,0.009886499419387906,-3.167124784499999e-06,-0.9730858437019702,-0.01341101104396647,-0.0035496519569804263,0.009861359086986043
F2,2014,0.0005170676358219,0.0005178893549162,31997,0.000530105274559,0.0005310377013567,31997,0.000520580522709,0.0005213800193071,31997,32121,400780,-9.524751850000022e-06,-1.7967660966821657,-0.025214571235687933,-0.006793863401479694,0.01842070783420824,-9.657682049600005e-06,-1.8186433891466596,-0.02538833114773631,-0.006740174050236858,0.01864815709749945
F2,2015,0.0005063226412598,0.0005063226412598,31626,0.0005171953202065,0.0005171953202065,31626,0.0005076109437955,0.0005076109437955,31626,31364,421422,-9.584376411000007e-06,-1.8531444575278182,-0.021473815430507637,-0.0025444300347592375,0.0189293853957484,-9.584376411000007e-06,-1.8531444575278182,-0.021473815430507637,-0.0025444300347592375,0.0189293853957484
F2,2016,0.0003854331269233,0.0003834398057078,32399,0.0003891365260529,0.0003873174381463,32399,0.0003874148196886,0.0003854575739209,32399,32230,457375,-1.7217063642999977e-06,-0.44244275441415265,-0.009608409010305463,-0.00514146975668317,0.004466939253622293,-1.8598642254000078e-06,-0.4801911926045241,-0.01011275402495615,-0.005262281544753389,0.004850472480202761
F2,2017,0.0002773123122904,0.0002787041109405,32204,0.0002806804722601,0.0002820198261736,32204,0.0002780093214908,0.0002793312931331,32204,33020,481121,-2.671150769300028e-06,-0.9516696148440049,-0.01214572819317472,-0.002513444840018808,0.009632283353155913,-2.6885330405000164e-06,-0.9533134875578088,-0.011896901060809428,-0.002250351422817376,0.009646549637992052
F2,2018,0.0004245475559859,0.0004426697698185,32162,0.0004277520540056,0.0004459382050326,32162,0.0004276470242979,0.0004457253744487,32162,32630,505677,-1.0502970770003136e-07,-0.024553875712927924,-0.007548030778927517,-0.007300638687701921,0.0002473920912255956,-2.128305838999746e-07,-0.04772647454245724,-0.007383461525823476,-0.006902672914513408,0.0004807886113100679
F2,2019,0.0004410982859584,0.0004426226064764,32037,0.0004466251071663,0.0004481443631214,32037,0.0004420658929307,0.0004436074498295,32037,32121,531558,-4.559214235600026e-06,-1.0208145853077648,-0.012529681895933065,-0.0021936312225689925,0.010336050673364072,-4.5369132919000315e-06,-1.0123776321316809,-0.012475089532722361,-0.0022250181953877846,0.010250071337334576
F2,2020,0.0007708036701998,0.0008189078649915,31996,0.0007779511554693,0.0008261916577418,31996,0.0007720940377133,0.0008201728814456,31996,31872,560400,-5.857117756000001e-06,-0.7528901673096284,-0.009272770156435906,-0.0016740547085947188,0.007598715447841187,-6.018776296200061e-06,-0.728496377299544,-0.008894520448128329,-0.001544760415890245,0.007349760032238084
F2,2021,0.0003379086774957,0.0003379086774957,32004,0.0003412760928106,0.0003412760928106,32004,0.0003388271784813,0.0003388271784813,32004,31752,583830,-2.4489143292999904e-06,-0.7175757050931426,-0.009965459720822967,-0.0027181929520341264,0.00724726676878884,-2.4489143292999904e-06,-0.7175757050931426,-0.009965459720822967,-0.0027181929520341264,0.00724726676878884
F2,2022,0.0005872298981242,0.0005869393365516,31704,0.0005920482019496,0.000591824656309,31704,0.0005891722979116,0.0005888529189545,31704,32004,615582,-2.875904038000007e-06,-0.48575504976279404,-0.008205140509349507,-0.0033077331273572153,0.004897407381992291,-2.9717373544999905e-06,-0.5021313868593545,-0.008323381060302282,-0.0032602728829569383,0.0050631081773453435
F2,2023,0.0005120488563575,0.0005283990313501,30704,0.0005187408714161,0.000535221299798,30704,0.0005135894145581,0.0005298423035894,30704,31242,631932,-5.151456858000004e-06,-0.9930693997442591,-0.013069094824670113,-0.0030086156457000968,0.010060479178970017,-5.378996208599989e-06,-1.0050041376585905,-0.012911205439700923,-0.002731405914224272,0.010179799525476652
F2,2024,0.0012125091711842,0.0012142360143778,29666,0.0012304784752553,0.0012321920538269,29666,0.0012139220330019,0.0012156270934298,29666,29869,639190,-1.655644225340017e-05,-1.3455287992717657,-0.014819932498778776,-0.0011652380462574552,0.013654694452521321,-1.65649603970999e-05,-1.3443489061346412,-0.014787931865372084,-0.0011456414037536167,0.013642290461618467
F2,2025,0.0007032961904113,0.0006995794854693,19228,0.0007197048934976,0.0007161365327932,19228,0.0007036787055552,0.0006999807179586,19228,29500,662587,-1.6026187942399964e-05,-2.226772123851539,-0.023331141715276393,-0.0005438891168687565,0.022787252598407637,-1.6155814834599978e-05,-2.255968533205011,-0.023667142430274346,-0.0005735338122883071,0.02309360861798604
